config_name,model,method,bit_width,wikitext2_ppl,llmc_duration_s,gpu_name,vllm_version,torch_version,timestamp,config_sha256
2525_gptq_w4,facebook/opt-125m,gptq,4,29.361183166503906,104.5612120628357,NVIDIA A10G,unknown,2.6.0+cu124,20260613T174614Z,ea16a54bb296bbed5680023399ecf96be9702fb1736f3628880a3990dbdb023d
2527_gptq_w4,facebook/opt-1.3b,gptq,4,14.86043930053711,475.93621134757996,NVIDIA A10G,unknown,2.6.0+cu124,20260613T174934Z,846212f6fea4bd1e6ab56f06253421ba09de5e020152f918a77c46bbdeb14139
2528_gptq_w4,facebook/opt-2.7b,gptq,4,12.713468551635742,1374.2414224147797,NVIDIA A10G,unknown,2.6.0+cu124,20260613T174934Z,f0428bad0151ec106f3217d8451ed3b83f5b066e6404d7ee578a93e220bd6966
2534_gptq_w3,facebook/opt-125m,gptq,3,35.42623519897461,104.52004742622375,NVIDIA A10G,unknown,2.6.0+cu124,20260613T174934Z,4afb2edf5e86a712491c66e0710f491c099411ddcfa3ebc5d20540a6113eaa7c
2537_gptq_w3,facebook/opt-2.7b,gptq,3,13.607439041137695,1109.113497018814,NVIDIA A10G,unknown,2.6.0+cu124,20260613T174934Z,fb2c7e1ccd4fc721f672a58f4df6c178e4f11c16978455c0bf276c13f7f7a137
2542_rtn_w4,facebook/opt-125m,rtn,4,30.471654891967773,46.897666692733765,NVIDIA A10G,unknown,2.6.0+cu124,20260613T175206Z,729c785d43c1ec2f72c052af55603e90bd66adfbc3d55c44f67e32ea4714c590
2544_rtn_w4,facebook/opt-1.3b,rtn,4,15.288802146911621,90.12985014915466,NVIDIA A10G,unknown,2.6.0+cu124,20260613T181429Z,19757dc66fe6996e161fc0141b5663d000dcbac62b01f2a31ee1028c5e8caafc
2545_rtn_w4,facebook/opt-2.7b,rtn,4,13.023948669433594,138.7783064842224,NVIDIA A10G,unknown,2.6.0+cu124,20260613T182900Z,c138a7afc778cd626d0f1738c9c83e6465fbef7d48ddc6b9fcedffd1dc051776
2546_rtn_w4,facebook/opt-6.7b,rtn,4,11.15225887298584,372.9405403137207,NVIDIA A10G,unknown,2.6.0+cu124,20260613T175226Z,adc69607c2e9c8caa9ed14eddf23cc559423f8b4820dfa31eb3977620ae0ec76
2550_gptq_w4,bigscience/bloom-560m,gptq,4,22.891075134277344,344.2243847846985,NVIDIA A10G,unknown,2.6.0+cu124,20260613T175227Z,f1d61e5965a8bd84fa16f5b3baa8273bf7df6461c1df86e0c13fab164e2fbd6f
2551_gptq_w4,bigscience/bloom-1b1,gptq,4,18.02633285522461,458.58681178092957,NVIDIA A10G,unknown,2.6.0+cu124,20260613T180959Z,b91ff5f93473d011c9f9459f87e5fe9278447bd85059d601e26765a590bfb718
2552_gptq_w4,bigscience/bloom-1b7,gptq,4,15.598514556884766,587.6996083259583,NVIDIA A10G,unknown,2.6.0+cu124,20260613T182810Z,fd144a5e04e9efed2da11b4b6815d07a09da9521b69ecd0de9ef714fedee855a
2553_gptq_w4,bigscience/bloom-3b,gptq,4,13.611767768859863,1226.6916036605835,NVIDIA A10G,unknown,2.6.0+cu124,20260613T175326Z,4a90260536376163e23b535465c3fb7f2dea604070cf02c76c30554d72b1187b
2569_awq_w4,meta-llama/Llama-2-7b-hf,awq,4,5.6509552001953125,2529.377890586853,NVIDIA A10G,unknown,2.6.0+cu124,20260614T093429Z,ecbda335f9a76a3b3ca240599ef8243d0aaf579f21cd7273e0fe527fd2dbec18
2571_rtn_w4,meta-llama/Llama-2-7b-hf,rtn,4,5.7262187004089355,1201.4713633060455,NVIDIA A10G,unknown,2.6.0+cu124,20260614T064416Z,6922006eb0363bfd8a737dc8b82c652c0954f67c5db1eeb122948e70ec0fea6b
2574_awq_w4,huggyllama/llama-7b,awq,4,5.8443989753723145,4060.549347639084,NVIDIA A10G,unknown,2.6.0+cu124,20260613T180008Z,b2824b96b912a741732bb66fe11d2605f7de3857b220695d4223543be394069c
2578_awq_w3,meta-llama/Llama-2-7b-hf,awq,3,6.748821258544922,2520.135804414749,NVIDIA A10G,unknown,2.6.0+cu124,20260614T101750Z,457604f76b5dc7bd6e7c9cfef99e95acb3a5d1961427e9bc19a1daa57a658121
gptq_opt125m,facebook/opt-125m,gptq,4,29.361183166503906,103.03069496154785,NVIDIA A10G,unknown,2.6.0+cu124,20260613T181454Z,a0968818571b16c9f9a42a53b0ab1a94bdd8a588ea688ed5da75742c698b4947
gptq_opt125m__seed42,facebook/opt-125m,gptq,4,29.361183166503906,104.8363995552063,NVIDIA A10G,unknown,2.6.0+cu124,20260613T190909Z,a0968818571b16c9f9a42a53b0ab1a94bdd8a588ea688ed5da75742c698b4947
gptq_opt125m__seed43,facebook/opt-125m,gptq,4,29.157089233398438,98.45882153511047,NVIDIA A10G,unknown,2.6.0+cu124,20260613T181805Z,8510aeeb4806cff90be737d647000f1c8a55d856d55512dbf072d43c1cfd1a4e
gptq_opt125m__seed44,facebook/opt-125m,gptq,4,29.20105743408203,101.46688079833984,NVIDIA A10G,unknown,2.6.0+cu124,20260613T183430Z,d1cb13abc9a5e11fa57a1893584f6969351a8c4b2fda3db59f0a8bdfce14fe27
rtn_opt125m,facebook/opt-125m,rtn,4,30.471654891967773,46.90531373023987,NVIDIA A10G,unknown,2.6.0+cu124,20260613T180210Z,9c5a19f4db4b048be37604d6472878c29fa1c68e4576887f3b73c51d5ffcc747
rtn_opt125m__seed42,facebook/opt-125m,rtn,4,30.471654891967773,49.033594369888306,NVIDIA A10G,unknown,2.6.0+cu124,20260613T180519Z,9c5a19f4db4b048be37604d6472878c29fa1c68e4576887f3b73c51d5ffcc747
rtn_opt125m__seed43,facebook/opt-125m,rtn,4,30.471654891967773,49.496862173080444,NVIDIA A10G,unknown,2.6.0+cu124,20260613T191026Z,96f4ba00e06f0a4232d90e0c89d43fd17283fc95d26763a695f993ed3101b100
rtn_opt125m__seed44,facebook/opt-125m,rtn,4,30.471654891967773,50.258482217788696,NVIDIA A10G,unknown,2.6.0+cu124,20260613T184614Z,c16b3edf45083f57293a68a22333d4fb926272b5fb1423c771f09c3d29baf06a
Llama-2-7b-hf_fp16_w16,meta-llama/Llama-2-7b-hf,fp16,16,5.472231388092041,,NVIDIA A10G,unknown,2.6.0+cu124,extracted,from:2578_awq_w3
Mistral-7B-Instruct-v0.2_fp16_w16,mistralai/Mistral-7B-Instruct-v0.2,fp16,16,5.946671962738037,,NVIDIA A10G,unknown,2.6.0+cu124,extracted,from:2668_awq_w4
Mistral-7B-v0.1_fp16_w16,mistralai/Mistral-7B-v0.1,fp16,16,5.252448558807373,,NVIDIA A10G,unknown,2.6.0+cu124,extracted,from:2567_smoothquant_w8
bloom-1b1_fp16_w16,bigscience/bloom-1b1,fp16,16,17.684377670288086,,NVIDIA A10G,unknown,2.6.0+cu124,extracted,from:2551_gptq_w4
bloom-1b7_fp16_w16,bigscience/bloom-1b7,fp16,16,15.388004302978516,,NVIDIA A10G,unknown,2.6.0+cu124,extracted,from:2552_gptq_w4
bloom-3b_fp16_w16,bigscience/bloom-3b,fp16,16,13.481477737426758,,NVIDIA A10G,unknown,2.6.0+cu124,extracted,from:2553_gptq_w4
bloom-560m_fp16_w16,bigscience/bloom-560m,fp16,16,22.417743682861328,,NVIDIA A10G,unknown,2.6.0+cu124,extracted,from:2550_gptq_w4
bloom-7b1_fp16_w16,bigscience/bloom-7b1,fp16,16,11.366427421569824,,NVIDIA A10G,unknown,2.6.0+cu124,extracted,from:2652_gptq_w4
llama-7b_fp16_w16,huggyllama/llama-7b,fp16,16,5.67706298828125,,NVIDIA A10G,unknown,2.6.0+cu124,extracted,from:2658_smoothquant_w8
opt-1.3b_fp16_w16,facebook/opt-1.3b,fp16,16,14.623929023742676,,NVIDIA A10G,unknown,2.6.0+cu124,extracted,from:2584_llmint8_w8
opt-125m_fp16_w16,facebook/opt-125m,fp16,16,27.653175354003906,,NVIDIA A10G,unknown,2.6.0+cu124,extracted,from:rtn_opt125m__seed43
opt-2.7b_fp16_w16,facebook/opt-2.7b,fp16,16,12.47087287902832,,NVIDIA A10G,unknown,2.6.0+cu124,extracted,from:2545_rtn_w4
